SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Employment status (official)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Employment status (official)","Employed","Unemployed","Discouraged work-seeker","Not economically active","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"21008010: Ward 10",7047.808372,1003.550811,64.81572,5478.749529,19.1048,7673.582683,21287.611915,
"21008011: Ward 11",1913.755053,182.466102,18.7299,1941.265707,6.6404,2195.989797,6258.846959,
"21008012: Ward 12",4418.621554,860.987989,204.6907,2384.41608,4.5178,3608.281135,11481.515258,
"21008013: Ward 13",4636.619008,1213.804545,116.85184,4240.544124,1.0584,4663.110232,14871.988149,
"21008014: Ward 14",5916.520263,2470.585464,134.54751,3661.551034,3.6313,4927.504737,17114.340308,
"21008015: Ward 15",7189.173266,2756.700184,179.9313,4903.546391,2.3343,6736.978538,21768.663979,
"21009001: Ward 1",11690.144612,677.506053,98.89304,4734.54187,2.1528,8419.139449,25622.377824,
"21009002: Ward 2",6754.841255,567.047424,65.85305,3693.169797,2.1168,5603.95622,16686.984546,
"21009003: Ward 3",4905.695442,660.20736,148.89145,3942.300753,0,5845.767084,15502.862089,
"21009004: Ward 4",4956.072432,1757.024254,189.07678,3407.090357,0,5631.272416,15940.536239,
"21009005: Ward 5",5001.367485,1608.963378,274.1874,3554.971091,2.1928,5533.089456,15974.77161,
"21009006: Ward 6",4555.92349,1201.073008,101.09795,3278.428284,1.1164,4440.871711,13578.510843,
"21201001: Ward 1",3310.430062,1490.529214,109.48949,5984.456821,7.8909,4723.520021,15626.316508,
