SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Employment status (official)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Employment status (official)","Employed","Unemployed","Discouraged work-seeker","Not economically active","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"21201026: Ward 26",691.265673,1964.065722,319.53962,10568.996796,7.8452,13144.835026,26696.548037,
"21201027: Ward 27",1148.122774,1750.894891,281.6213,8364.602618,2.2328,11115.847325,22663.321708,
"21201028: Ward 28",1338.594763,2332.27278,425.68558,9927.699914,16.746,12492.264589,26533.263626,
"21201029: Ward 29",1045.871409,1456.480815,307.32634,8695.097529,0,10604.204397,22108.98049,
"21201030: Ward 30",1484.776169,1993.361227,525.54816,9653.90154,5.582,12766.07945,26429.248546,
"21201031: Ward 31",467.346375,1898.399159,243.41704,8674.081762,1.1164,11545.924193,22830.284929,
"21202001: Ward 1",5785.093687,2932.720139,77.59216,3931.006617,1.2067,5272.040444,17999.659747,
"21202002: Ward 2",6027.997589,6008.724501,227.97926,5861.004608,2.4134,8336.408489,26464.527847,
"21202003: Ward 3",4708.201423,3042.772975,196.29955,5875.011461,1.1164,7162.756802,20986.158611,
"21202004: Ward 4",6819.073025,3189.927669,224.3222,6287.245359,35.6791,8357.937655,24914.185008,
"21202005: Ward 5",5460.169664,4220.496232,370.57403,6745.23802,6.5156,9195.403515,25998.397061,
"21202006: Ward 6",1948.974992,1848.439322,123.95929,7696.632615,0,4697.598559,16315.604778,
"21202007: Ward 7",2400.915594,3056.214692,428.75355,9507.500781,0,10511.854367,25905.238984,
"21202008: Ward 8",1440.788766,2531.753636,253.21496,8786.310397,5.5363,10293.649916,23311.253975,
"21202009: Ward 9",2384.726446,4212.466214,518.24395,8372.524698,6.6984,11750.625779,27245.285487,
"21202010: Ward 10",701.291671,2560.056747,383.34837,8472.923273,2.2328,10922.450513,23042.303374,
"21202011: Ward 11",979.568897,2205.570508,607.48791,11382.824879,1.1164,14153.229987,29329.798581,
"21202012: Ward 12",1562.710943,2574.113723,493.52673,8373.766759,0,10303.871451,23307.989606,
"21202013: Ward 13",1513.360302,2329.17063,288.81494,8705.313146,0,10898.030402,23734.68942,
"21202014: Ward 14",964.213567,2248.824196,488.85902,9608.997604,0,12526.340693,25837.23508,
"21202015: Ward 15",787.166704,1762.701484,312.92316,9188.468951,2.1871,11739.33548,23792.782879,
"21202016: Ward 16",1722.413205,2296.300486,585.7006,9108.596439,12.3108,11970.680504,25696.002034,
"21202017: Ward 17",1328.534362,2779.981328,398.63726,10217.559121,0,13184.80422,27909.516291,
"21202018: Ward 18",1840.907523,2636.249428,304.35176,9902.769438,17.8624,11624.710746,26326.851295,
"21202019: Ward 19",1153.181432,2329.628243,329.85875,10603.40542,10.1237,12643.582657,27069.780202,
"21202020: Ward 20",1030.434634,2382.96877,436.91497,10013.675951,6.8017,12362.459529,26233.255554,
"21202021: Ward 21",1528.307285,2074.330627,568.28639,10335.621988,2.1871,12647.108605,27155.841995,
"21202022: Ward 22",1165.183222,2404.024398,759.49171,11209.056306,2.2328,14827.45963,30367.448066,
"21202023: Ward 23",1034.23035,2427.829381,454.30697,8645.3694,8.9312,11431.826188,24002.493489,
"21202024: Ward 24",919.622429,2566.431165,700.45621,12887.56409,0,17054.863715,34128.937609,
"21202025: Ward 25",1344.504581,2530.50208,737.21479,14132.325644,2.1871,18205.578,36952.312195,
"21202026: Ward 26",1003.710045,2626.843876,534.67228,13890.445931,15.6296,16300.053467,34371.355199,
"21202027: Ward 27",707.278306,2267.935433,415.5269,12055.90096,1.1164,14383.289048,29831.047047,
"21202028: Ward 28",690.626063,2429.054207,453.15928,11852.286482,5.582,15032.891573,30463.599605,
"21202029: Ward 29",1010.870719,2427.728882,487.54284,10616.591263,15.5839,12695.917228,27254.234832,
"21202030: Ward 30",1453.348017,1720.167942,403.45886,9352.143545,16.9286,11241.777769,24187.824733,
"21202031: Ward 31",875.135333,2121.458992,213.87382,13642.695742,3.3492,15564.866733,32421.37982,
"21203001: Ward 1",4189.397996,2131.501813,486.58079,5992.63507,1.1164,6697.031669,19498.263738,
"21203002: Ward 2",1985.123222,1881.889607,263.09203,6972.843868,3.3668,7200.924514,18307.240041,
"21203003: Ward 3",1171.91052,2006.320142,515.96547,8007.447504,10.1237,8188.60544,19900.372776,
"21203004: Ward 4",904.813408,1899.238964,441.06141,7674.053703,7.8148,8097.679403,19024.661688,
"21203005: Ward 5",2890.974548,1016.564513,394.3709,3802.196064,4.4889,4881.312103,12989.907028,
"21203006: Ward 6",3790.665408,1533.266449,565.03417,4386.845027,7.5551,5758.203247,16041.569401,
"21203007: Ward 7",3091.036895,1748.162031,269.63331,5978.349362,14.4732,6672.052471,17773.707269,
"21204001: Ward 1",1395.603922,2670.947656,423.94226,6900.942316,6.639,8005.034471,19403.109625,
"21204002: Ward 2",3563.256465,3235.598723,374.03791,6041.641505,4.3605,8295.117005,21514.012108,
"21204003: Ward 3",1687.710888,2963.706679,276.18256,8325.809646,15.5869,9734.767923,23003.764596,
"21204004: Ward 4",3738.232453,2817.420851,534.67784,5712.165252,55.0581,8256.176906,21113.731402,
"21204005: Ward 5",2618.226156,3023.588334,528.58141,7192.124799,15.536,8725.105976,22103.162675,
"21204006: Ward 6",4883.802914,3198.226841,370.21389,6201.677198,17.5048,8304.043081,22975.468724,
"21204007: Ward 7",1526.708502,2569.576831,328.77175,7398.007191,4.6102,8316.262563,20143.937037,
"21204008: Ward 8",1245.108022,2234.769242,489.6526,7392.30699,0,8225.032506,19586.86936,
"21204009: Ward 9",2502.998805,2198.171684,491.70486,6041.141609,2.3361,6981.18245,18217.535508,
"21204010: Ward 10",1529.593148,2301.724836,502.40891,6459.52836,7.8148,6938.642853,17739.712907,
"21204011: Ward 11",1150.1622,2116.239802,283.51545,7495.976469,4.4062,7772.491305,18822.791426,
"21204012: Ward 12",771.016885,1369.217316,462.00276,10116.536906,3.3035,12865.9907,25588.068067,
"21204013: Ward 13",1348.194745,1486.144691,348.94034,7546.830106,2.1928,9188.842955,19921.145637,
"21204014: Ward 14",2386.288699,2696.325341,463.33045,8286.198281,2.2328,9240.761496,23075.137067,
"21204015: Ward 15",2422.158077,2853.486661,539.99646,5323.065102,4.4656,6458.790944,17601.962844,
"21204016: Ward 16",3169.736213,3514.451149,455.13865,6545.51101,0,7713.651458,21398.48848,
"21204017: Ward 17",4158.758388,674.486015,210.49967,3072.401821,4.4199,4030.419304,12150.985098,
"21204018: Ward 18",1361.262491,2175.062135,486.72141,5519.965789,3.3492,6330.343401,15876.704426,
"21204019: Ward 19",1358.139713,2075.342721,649.01718,6913.020721,5.582,7569.314969,18570.417304,
"21204020: Ward 20",2377.12165,3187.180232,509.83703,5433.46267,0,6835.824329,18343.425911,
"21206001: Ward 1",729.385839,2211.282664,368.49585,7892.768168,3.3492,8488.168363,19693.450084,
"21206002: Ward 2",1126.963316,2718.316882,457.32935,6974.338596,2.2328,7777.927327,19057.108271,
"21206003: Ward 3",916.107045,2758.005465,438.30676,7953.214334,3.3492,8484.475844,20553.458648,
"21206004: Ward 4",768.689707,2373.334915,358.18379,7317.977139,2.1871,8275.762285,19096.134936,
"21206005: Ward 5",1142.574156,2479.511027,436.81186,8165.72173,0,8787.31774,21011.936513,
"21206006: Ward 6",1003.525737,2332.481397,387.0987,7668.86189,0,7721.362441,19113.330165,
"21206007: Ward 7",1786.222736,3425.01341,382.35583,7198.845778,2.2328,8362.526751,21157.197305,
"21206008: Ward 8",1085.594801,2615.130991,481.16307,7323.620991,2.2328,7657.686775,19165.429428,
"21206009: Ward 9",875.165947,2635.394613,467.43394,6805.929941,4.6178,7587.329339,18375.87158,
"21206010: Ward 10",2740.376366,2759.561613,296.72775,3523.983926,4.4656,4605.622289,13930.737544,
"21206011: Ward 11",1977.02246,2937.669932,681.40651,6195.824201,1.1164,7346.992772,19140.032275,
"21206012: Ward 12",1041.350601,2280.200202,503.92175,6981.023922,1.1164,7484.741928,18292.354803,
"21206013: Ward 13",627.083563,2548.344657,560.66326,8385.470436,1.1164,9033.466631,21156.144947,
"21207001: Ward 1",497.724968,1819.804137,365.76215,6513.760542,1.1164,8101.823436,17299.991633,
"21207002: Ward 2",1962.687889,3863.187672,170.46453,6490.535478,1.1164,7222.674066,19710.666035,
"21207003: Ward 3",1938.878284,3593.38915,323.2183,5314.464672,30.124,7631.084133,18831.158539,
"21207004: Ward 4",2610.188579,3365.894624,493.01855,5610.093767,8.9598,7815.319825,19903.475145,
"21207005: Ward 5",1203.149741,2851.677292,484.20623,8231.404108,4.4656,8559.580185,21334.483156,
"21207006: Ward 6",3994.405876,1528.346842,410.78145,2889.940469,0,4183.669749,13007.144386,
"21207007: Ward 7",1768.015096,3556.957197,705.8678,8202.453628,22.8612,9437.788336,23693.943257,
"21207008: Ward 8",3672.227714,2426.298185,381.06862,7538.652774,15.5316,8069.961184,22103.740077,
"21207009: Ward 9",1944.2462,3751.896433,800.58798,7226.106913,25.1271,9482.339092,23230.303718,
"21207010: Ward 10",2141.442943,2358.703599,326.80179,6306.161027,34.8512,7307.57375,18475.534309,
"21207011: Ward 11",864.361289,1092.036001,203.17566,5587.264462,0,4541.591976,12288.429388,
"21207012: Ward 12",1735.038781,3423.958465,310.92106,6787.746834,1.1164,7861.865792,20120.647332,
"21207013: Ward 13",1243.113798,2952.741737,1053.24675,6062.637998,10.1509,7793.672141,19115.563324,
"21207014: Ward 14",584.219367,2189.600108,494.40812,8313.94937,0,9615.794583,21197.971548,
"21207015: Ward 15",2382.360082,2921.28469,290.59798,8214.710542,0,7154.003452,20962.956746,
"21207016: Ward 16",1511.198285,3148.205823,354.40138,7913.909097,1.1164,7973.976672,20902.807657,
"21207017: Ward 17",754.901176,2200.599189,397.79771,6055.733034,3.3492,6875.74096,16288.121269,
"21207018: Ward 18",1571.499754,3078.221777,750.08007,7249.853493,0,8187.714138,20837.369232,
"21207019: Ward 19",1463.599032,2287.355828,373.84169,5930.715042,0,7093.703345,17149.214937,
"21207020: Ward 20",2619.720584,3091.203501,222.61878,5464.826362,3.4525,6541.755831,17943.577558,
"21207021: Ward 21",2564.069412,2330.474938,640.13948,4927.00177,1.1164,6290.341054,16753.143054,
"21208001: Ward 1",3302.12748,2724.3171,184.69745,4868.99636,1.1164,6468.301073,17549.555863,
"21208002: Ward 2",1877.597875,3398.453333,246.56795,5034.415891,6.7716,5944.971883,16508.778532,
"21208003: Ward 3",1404.338848,1895.895264,145.77266,4280.204166,8.9312,4368.042408,12103.184546,
"21208004: Ward 4",5773.308862,3190.355842,866.38286,7515.502034,35.0115,10338.408731,27718.969829,
"21301001: Ward 1",3399.13895,4216.612636,402.6715,7410.516656,38.759,8547.975713,24015.674455,
"21301002: Ward 2",1736.796408,2131.437787,293.59733,4013.30504,4.4199,4627.537799,12807.094264,
"21301003: Ward 3",1834.910463,3535.511967,356.63807,5527.668278,3.3492,5349.3573,16607.435278,
"21301004: Ward 4",3865.876914,2266.796357,433.51116,5942.608811,0,7359.14622,19867.939462,
"21301005: Ward 5",7032.843178,603.199953,59.58982,4996.575395,0,6085.349123,18777.557469,
"21301006: Ward 6",12293.019791,2148.377433,516.29878,6198.425062,3.2292,10297.385472,31456.735738,
"21301007: Ward 7",4976.314214,3046.691385,324.51335,6525.532567,0,9961.544227,24834.595743,
"21301008: Ward 8",3515.527251,2549.792942,171.94193,4342.184173,0,5732.223661,16311.669957,
"21301009: Ward 9",4565.309294,2028.556075,96.83777,5217.888257,2.2328,7206.092494,19116.91669,
"21302001: Ward 1",1233.874435,2350.943588,451.36265,8153.894378,5.5363,9578.310344,21773.921695,
"21302002: Ward 2",1826.16825,2154.670725,267.51134,6630.708905,6.6984,7553.785383,18439.543003,
"21302003: Ward 3",1247.533653,1999.322866,373.79534,9941.499743,2.2328,10362.629639,23927.014041,
"21302004: Ward 4",2420.281852,2076.039817,371.94662,5066.260194,32.8052,6664.274065,16631.607748,
"21302005: Ward 5",4873.402055,2064.066232,346.80202,5485.323094,31.242,7349.189691,20150.025092,
"21303001: Ward 1",1038.472651,2435.754066,302.19994,4123.885526,5.8659,4918.898265,12825.076348,
"21303002: Ward 2",5432.609555,2117.87001,181.02408,5547.229075,6.3455,7190.641958,20475.720178,
"21303003: Ward 3",1959.145166,1796.518415,432.2777,4066.715291,0,5601.852926,13856.509498,
"21303004: Ward 4",1497.628418,2124.026049,238.34359,4726.635207,8.9312,5887.419004,14482.983468,
"21304001: Ward 1",2494.394199,2160.548976,720.81095,6239.889953,21.0116,8608.091539,20244.747217,
"21304002: Ward 2",1922.749697,3274.900208,449.91038,8199.918133,29.0264,9459.140104,23335.644922,
"21304003: Ward 3",688.923646,2052.967168,374.91474,9240.373639,5.5363,10218.66629,22581.381783,
"21304004: Ward 4",4416.226185,2625.51913,205.23438,6797.159293,3.2928,7332.524621,21379.956409,
"21304005: Ward 5",1282.564666,2256.327679,390.8792,7796.601729,1.1164,8650.94198,20378.431654,
"21304006: Ward 6",5917.675381,1697.872744,134.75019,5937.951852,3.3492,7081.302399,20772.901766,
"21304007: Ward 7",3370.189776,3962.272654,340.28064,4310.353517,4.4656,6839.570209,18827.132396,
"21304008: Ward 8",3306.040283,3073.840047,338.51725,6364.195006,7.8148,6814.03701,19904.444396,
"21304009: Ward 9",1765.344503,3442.036735,417.5848,9296.685837,12.1762,10220.14901,25153.977085,
"21304010: Ward 10",1327.282432,2220.49101,204.82134,4603.293995,3.3492,5146.77971,13506.017687,
"21304011: Ward 11",2673.128899,3732.552601,1052.187,9592.802843,10.1861,11554.850138,28615.707581,
"21304012: Ward 12",791.12133,2143.172054,446.09113,8946.392091,0,9575.782696,21902.559301,
"21304013: Ward 13",793.272536,1662.40817,224.43294,8636.350454,2.2328,8520.689811,19839.386711,
"21304014: Ward 14",887.62836,2290.690624,452.78104,5354.902051,2.2328,6457.625386,15445.860261,
"21304015: Ward 15",2456.885877,2306.778453,268.7232,5065.297112,5.6853,5191.745946,15295.115888,
"21304016: Ward 16",2227.445211,2300.724882,503.50518,6525.895818,4.4656,7933.53873,19495.575421,
"21304017: Ward 17",1417.697027,2400.339945,669.92626,5247.716985,7.8724,6993.369772,16736.922389,
"21304018: Ward 18",6124.742397,3571.386652,565.9873,7521.156395,7.8322,10431.964012,28223.068956,
"21304019: Ward 19",4050.804323,3073.910524,195.64858,4689.680056,3.6537,6577.02592,18590.723103,
"21304020: Ward 20",3094.98437,2133.999035,528.22249,3699.389539,0,4856.951882,14313.547316,
"21304021: Ward 21",3465.746569,3224.055171,255.58202,4924.991434,2.2328,6219.959847,18092.567841,
"21304022: Ward 22",4688.188665,3927.655726,104.62963,6450.371538,7.796,7741.530496,22920.172055,
"21304023: Ward 23",3160.781419,2685.842831,120.33197,5832.022254,2.2328,5276.200737,17077.412011,
"21304024: Ward 24",3363.14349,3579.009237,158.30263,4540.844121,0,5191.166821,16832.466299,
"21304025: Ward 25",5831.848001,3729.856607,231.38548,6336.675293,24.9256,8455.3322,24610.023181,
"21304026: Ward 26",8137.906963,735.837912,149.05673,6826.664858,10.874,8208.783157,24069.12362,
"21304027: Ward 27",3119.405716,2636.65921,561.2649,6440.206611,14.0974,7970.826227,20742.460064,
"21305001: Ward 1",648.116003,1604.722833,337.42101,9673.920976,2.2328,12239.214441,24505.628063,
"21305002: Ward 2",877.202481,1822.483776,446.85979,7800.762384,12.3565,9102.137752,20061.802683,
"21305003: Ward 3",632.960991,1414.343936,253.69768,8493.56626,1.1164,10271.145376,21066.830643,
"21305004: Ward 4",1410.126316,2627.500002,515.22793,9408.684184,5.6581,11785.131067,25752.327599,
"21305005: Ward 5",1062.585151,1801.393844,369.11152,10068.07383,7.967,12694.277647,26003.408992,
"21305006: Ward 6",934.366461,1995.028981,325.37752,9284.930957,0,12041.473961,24581.17788,
"21305007: Ward 7",864.438623,1614.050703,511.45663,7157.375779,0,10198.387493,20345.709228,
"21305008: Ward 8",2426.516399,2725.418636,490.12325,7432.213005,13.3968,9388.565631,22476.233721,
"21305009: Ward 9",467.957636,1307.603906,157.9714,7644.043569,0,9669.909161,19247.485672,
"21305010: Ward 10",1198.034918,1968.483723,315.02371,8236.343732,1.1164,10679.344444,22398.346927,
"21305011: Ward 11",436.957708,712.53622,449.92794,6854.092623,2.3361,8519.024335,16974.874926,
"21305012: Ward 12",745.868546,1296.401528,379.56616,8300.89822,5.6581,10376.817389,21105.209943,
"21305013: Ward 13",1007.967146,1949.07214,398.05399,8334.175299,3.3492,11383.215053,23075.832828,
"21305014: Ward 14",5210.615533,1575.724589,237.47062,5045.910999,0,5074.120518,17143.842259,
"21305015: Ward 15",1556.850938,2243.045319,350.05318,7942.239094,5.7266,10116.091683,22214.006814,
"21305016: Ward 16",870.564689,1939.79646,378.89452,10138.580879,7.8148,13487.113957,26822.765305,
"21305017: Ward 17",1647.802671,2439.841992,418.19717,8399.574217,3.4938,11361.317192,24270.227042,
"21305018: Ward 18",1437.160522,2208.46333,523.06191,8433.207492,4.4656,12013.07179,24619.430644,
"21305019: Ward 19",576.53303,1036.596596,413.41417,6584.399863,5.582,8817.579295,17434.104954,
"21305020: Ward 20",633.483391,1214.381022,389.67673,7214.352357,1.1164,9481.648443,18934.658343,
"21305021: Ward 21",719.585388,1381.399909,498.88789,9961.193826,14.4675,12766.265193,25341.799706,
"21306001: Ward 1",680.321119,1509.680827,745.04846,8987.122807,1.1164,11131.653443,23054.943056,
"21306002: Ward 2",804.034899,1539.830883,445.0277,7394.529037,7.8148,9935.703675,20126.940994,
"21306003: Ward 3",699.893844,1283.064501,543.30838,8925.523008,0,11080.327047,22532.11678,
"21306004: Ward 4",2427.262656,2103.177168,271.00988,5572.342656,0,8243.789634,18617.581994,
"21306005: Ward 5",2571.133597,3381.942641,533.47199,10171.567412,2.214,13670.971305,30331.300945,
"21306006: Ward 6",691.777307,1538.069797,364.11545,9150.785626,0,11143.877118,22888.625298,
"21306007: Ward 7",684.153748,1969.693451,446.93068,9779.205967,3.2578,11282.907363,24166.149009,
"21306008: Ward 8",642.103675,1503.635161,436.21976,9911.591972,7.9181,11608.160681,24109.629349,
"21306009: Ward 9",1286.532424,2154.392112,372.83776,9074.200813,4.4656,11081.172948,23973.601657,
"21306010: Ward 10",954.311621,1351.997172,218.95994,7949.94239,1.1164,9444.587188,19920.914711,
"21306011: Ward 11",1666.331395,1969.910176,325.02201,5441.30589,16.7234,6555.259503,15974.552374,
"21306012: Ward 12",821.306575,1762.354032,544.25104,8281.912878,18.1723,11034.351613,22462.348438,
"21306013: Ward 13",783.732682,1534.238241,362.50115,7455.452414,2.2328,9527.478644,19665.635931,
"21306014: Ward 14",2559.457527,2396.266997,459.40246,9351.868212,2.3361,11685.696078,26455.027374,
"21306015: Ward 15",2593.373803,2367.214518,301.36346,7717.99516,39.6375,8606.953294,21626.537735,
"21306016: Ward 16",1561.913134,1223.475675,278.31855,5882.687967,3.3492,7175.256171,16125.000697,
"21306017: Ward 17",708.023989,2000.57439,212.86636,7548.455365,12.5903,9437.57474,19920.085144,
"21307001: Ward 1",420.196061,1201.250357,392.69244,8411.127843,2.2328,10124.196166,20551.695667,
"21307002: Ward 2",756.598699,1978.903232,445.16595,7831.015906,1.1164,10448.096089,21460.896276,
"21307003: Ward 3",880.214384,1883.312246,276.90645,6906.883175,3.3492,9268.047682,19218.713137,
"21307004: Ward 4",1107.569411,2470.123801,333.51154,7666.211551,1.1164,11281.994441,22860.527144,
"21307005: Ward 5",488.012451,1955.777528,387.12056,7340.456166,2.2328,11465.240162,21638.839667,
"21307006: Ward 6",683.019189,1868.160241,322.72108,9710.17677,3.3492,12665.515697,25252.942177,
"21307007: Ward 7",811.232197,2203.918199,457.53222,8413.397142,4.5689,12181.979542,24072.6282,
"21307008: Ward 8",1366.641827,2808.044403,415.81951,10351.651554,5.582,13894.021643,28841.760937,
"21307009: Ward 9",2018.203384,2754.029978,234.42406,8178.276822,68.4376,10005.613238,23258.985082,
"21307010: Ward 10",4637.938886,4634.034038,453.91281,7848.035808,14.5132,10316.658869,27905.093611,
"21307011: Ward 11",3487.646543,1311.03689,266.86061,4244.684552,4.5417,5842.603698,15157.373993,
"21307012: Ward 12",904.397413,1884.027554,316.35128,8911.910276,1.1164,11873.99556,23891.798483,
"21307013: Ward 13",767.851628,2405.399077,394.4611,9254.064389,5.582,13419.803567,26247.161761,
"21307014: Ward 14",1044.214544,2302.777133,537.94957,9343.432862,4.6939,12525.846064,25758.914073,
"21307015: Ward 15",1223.734903,2390.887677,500.42639,9850.449069,6.6984,14380.988982,28353.185421,
"21307016: Ward 16",1071.84407,2373.660408,655.04842,8478.142463,2.3089,12331.302045,24912.306306,
"21307017: Ward 17",1488.129611,2137.646672,316.27862,9317.941783,9.2204,12345.150695,25614.367781,
"21307018: Ward 18",1227.026663,2413.903045,261.15978,10104.352954,8.9312,13934.63636,27950.010002,
"21307019: Ward 19",787.062286,1581.819892,366.8134,10642.088044,8.9312,14277.807086,27664.521908,
"21307020: Ward 20",523.78066,1375.677743,373.02845,8617.270734,2.2328,11298.358223,22190.34861,
"21308001: Ward 1",5661.074728,3148.598638,240.2757,6612.610353,5.462,10298.43835,25966.459769,
"21308002: Ward 2",2804.611584,2467.253646,381.99203,5985.653288,23.5347,8387.117378,20050.162626,
"21308003: Ward 3",1899.922485,2455.594545,302.62446,9438.051485,0,12911.099729,27007.292704,
"21308004: Ward 4",3558.102637,1890.821554,97.31782,4602.572051,0,6531.072366,16679.886428,
"21308005: Ward 5",3015.228,2881.432188,362.30876,6373.352375,0,9470.434179,22102.755502,
"21308006: Ward 6",1308.568718,1598.356389,155.37458,7810.741976,3.3492,9198.339916,20074.730779,
"21308007: Ward 7",686.14673,1538.733717,454.05952,7657.865852,0,9856.96073,20193.766549,
"21308008: Ward 8",711.089568,2080.869636,554.08529,8335.800362,1.1164,10798.478308,22481.439564,
"21308009: Ward 9",1067.877944,2115.684069,270.85441,7279.005286,10.0476,9952.899737,20696.369046,
"21401001: Ward 1",1713.762167,2340.420168,441.57415,10118.097683,7.8148,14398.924914,29020.593882,
"21401002: Ward 2",3303.906405,3257.560654,439.82152,7388.80661,23.5596,9067.61716,23481.271949,
"21401003: Ward 3",4463.207019,3396.100904,358.8166,5984.224566,13.3968,9054.940505,23270.686394,
"21401004: Ward 4",2936.876105,1377.92693,416.56081,7032.49572,24.3916,9811.250493,21599.501658,
"21401005: Ward 5",1294.336758,2600.172453,309.25289,10617.235011,0,13828.131596,28649.128708,
"21401006: Ward 6",1132.521304,1944.552432,221.76267,6908.144779,6.607,9608.995022,19822.583207,
"21401007: Ward 7",1351.443341,2777.715132,200.24911,11304.294971,3.3492,14454.523057,30091.574811,
"21401008: Ward 8",983.702013,2481.681701,222.77407,8237.573711,7.8724,11592.70247,23526.306365,
"21401009: Ward 9",3947.118829,3114.798063,405.8393,7804.651777,3.3492,9431.353996,24707.111165,
"21401010: Ward 10",1434.798173,2694.399276,395.25823,8766.966926,0,11594.238857,24885.661462,
"21401011: Ward 11",1048.876645,2527.05032,218.10379,8821.898927,2.2328,11325.824039,23943.986521,
"21401012: Ward 12",1025.186927,2050.291039,240.58416,8975.189179,1.0707,12173.090002,24465.412007,
"21401013: Ward 13",1119.115128,1999.744165,422.46935,9459.30264,0,12365.168041,25365.799324,
"21401014: Ward 14",852.984455,1751.48172,203.30645,6811.527312,0,9206.73584,18826.035777,
"21401015: Ward 15",1374.038007,2767.352076,339.29979,8790.47685,0,12540.900737,25812.06746,
"21401016: Ward 16",964.922172,1940.314883,321.65765,9967.609806,4.4656,12246.889994,25445.860105,
"21401017: Ward 17",3340.973008,1925.266126,148.13154,4667.054373,18.699,7409.539894,17509.663941,
"21402001: Ward 1",1017.227303,1914.560013,187.46611,9229.893304,1.1164,10671.853122,23022.116252,
"21402002: Ward 2",1609.068405,2607.546952,501.99492,12342.133413,1.1164,13483.850106,30545.710196,
"21402003: Ward 3",892.564032,1453.139015,386.2378,7139.111244,1.1164,7842.531406,17714.699897,
"21402004: Ward 4",723.449621,1652.608244,265.61972,7863.144113,2.2328,8496.158256,19003.212754,
"21402005: Ward 5",681.866932,1049.139353,397.54417,6919.383616,0,8620.223152,17668.157223,
"21402006: Ward 6",1065.526756,2017.433772,214.05842,8976.747562,0,10869.570419,23143.336929,
"21402007: Ward 7",1452.414629,1880.756165,450.32856,7746.600763,0,8943.05876,20473.158877,
"21402008: Ward 8",3670.781253,3276.24188,362.62113,7666.810341,2.2328,9977.709597,24956.397001,
"21402009: Ward 9",1307.375891,1781.020065,472.8596,7209.814634,0,8512.241949,19283.312139,
"21402010: Ward 10",3668.73656,1894.069246,546.27479,5155.63411,1.1164,6904.310306,18170.141412,
"21402011: Ward 11",1667.479546,2045.791508,512.47313,8555.087982,1.1164,10075.687692,22857.636258,
"21402012: Ward 12",830.652846,2054.709503,440.57364,7862.429314,5.582,8893.258166,20087.205469,
"21402013: Ward 13",953.965357,2038.08943,389.36938,9098.507909,0,10627.316019,23107.248095,
"21402014: Ward 14",2896.988785,2458.576166,274.66301,5344.822439,9.6866,7234.983823,18219.720823,
"21402015: Ward 15",5238.113658,1455.157947,404.19226,7683.176832,3.3492,10795.145874,25579.135771,
"21402016: Ward 16",5123.644936,1073.010301,313.42138,3450.569614,7.796,5908.480638,15876.922869,
"21402017: Ward 17",1533.493844,2039.57395,502.4739,8374.293649,1.1164,9367.523029,21818.474772,
"21402018: Ward 18",1543.768158,2184.961945,471.52515,6492.534858,5.7342,7703.789307,18402.313618,
"21402019: Ward 19",3561.203914,2753.132421,307.3058,6265.727243,0,8325.731671,21213.101049,
"21403001: Ward 1",5661.33839,1350.533454,584.99773,6391.748626,23.0123,8950.125798,22961.756298,
"21403002: Ward 2",4395.876461,1258.714416,251.59391,4125.504978,10.065,6048.456588,16090.211353,
"21403003: Ward 3",3119.207427,1905.138676,146.91069,5795.175923,2.3343,6694.267045,17663.034061,
"21403004: Ward 4",5029.501549,2030.444486,187.84752,4503.578992,2.4246,7099.618088,18853.415235,
"21403005: Ward 5",3864.761312,1934.893977,75.35642,4573.703766,8.9312,5171.302241,15628.948916,
"21403006: Ward 6",3717.699046,2875.978523,335.98072,6371.073463,28.3499,8822.915535,22151.997187,
"21404001: Ward 1",3597.220788,1905.903135,214.04533,4810.670586,4.3456,7406.931958,17939.117397,
"21404002: Ward 2",1687.591806,1974.960783,246.94346,5546.867739,3.4395,6596.645236,16056.448524,
"21404003: Ward 3",9182.955653,1186.8985,347.48015,6300.403965,5.0181,9208.158132,26230.9145,
"21404004: Ward 4",3169.717217,3641.843013,176.49198,7080.343228,3.3035,8535.373182,22607.07212,
"21404005: Ward 5",1722.746095,1351.823225,537.8941,3289.238262,0,4865.643537,11767.345219,
"21503001: Ward 1",355.254415,1498.199893,290.63485,7256.360153,3.4253,9494.11768,18897.992291,
"21503002: Ward 2",657.211074,2986.940425,516.48294,12380.485043,15.6296,16029.634157,32586.383239,
"21503003: Ward 3",484.232217,1895.014267,348.23169,9715.97013,1.1164,12310.547499,24755.112203,
"21503004: Ward 4",794.653198,2094.898061,521.13868,7865.832652,0,12025.401869,23301.92446,
"21503005: Ward 5",618.288962,1964.417625,438.26885,10704.47978,2.4394,13566.617935,27294.512552,
"21503006: Ward 6",3358.63971,3245.985856,363.39289,6548.518122,2.2328,10356.827975,23875.597353,
"21503007: Ward 7",945.922987,2578.075984,797.81449,8512.857291,0,13749.993997,26584.664749,
"21503008: Ward 8",948.375089,2439.912466,352.24073,7780.231355,1.261,12175.839597,23697.860237,
"21503009: Ward 9",2297.245133,2778.356888,313.78051,7624.303003,0,11496.164522,24509.850056,
"21503010: Ward 10",765.167304,1702.268218,456.90653,8210.005531,0,12154.092905,23288.440488,
