SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Population group"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Population group","Black African","Coloured","Indian or Asian","White","Other","Unspecified","Total",
"South Africa by 2011 Electoral Wards",
"21006005: Ward 5",15568.039259,78.094232,4.33129,129.51308,52.48196,5.4663,15837.926121,
"21006006: Ward 6",14117.445288,1081.344167,3.24918,930.186451,45.66484,44.5468,16222.436726,
"21006007: Ward 7",9868.790753,7891.528999,44.8979,3966.24288,76.21692,24.49722,21872.174672,
"21006008: Ward 8",13180.291063,7332.500085,14.19229,1057.307336,61.90219,28.9966,21675.189564,
"21007001: Ward 1",294.619948,6024.618992,5.176028,1046.553304,17.2459,7.8148,7396.028972,
"21007002: Ward 2",3087.720263,10318.803103,14.276856,1228.322152,35.49379,4.4199,14689.036064,
"21007003: Ward 3",1626.139727,17176.640199,20.210834,763.294346,38.42722,25.771,19650.483326,
"21007004: Ward 4",359.872285,8703.928318,5.37377,782.281283,11.2459,149.1846,10011.886156,
"21008001: Ward 1",1996.195053,1214.840222,2.96935,658.351502,3.37377,0,3875.729897,
"21008002: Ward 2",1033.180952,7986.602097,36.969027,104.99722,14.61967,22.4592,9198.828166,
"21008003: Ward 3",93.815375,41.903467,1.12459,1748.395593,4.49836,0,1889.737385,
"21008004: Ward 4",3178.530403,27994.140146,62.499377,1591.672277,69.22622,67.5226,32963.591023,
"21008005: Ward 5",2042.202135,10233.860484,16.984536,9.641138,3.37377,31.355,12337.417063,
"21008006: Ward 6",11965.582573,198.16755,6.829628,5.788154,30.36393,10.4509,12217.182735,
"21008007: Ward 7",8666.502207,13581.492136,39.628278,2742.997075,44.83164,28.2701,25103.721436,
"21008008: Ward 8",1158.506418,2129.496582,28.7769,13299.170425,69.32016,14.4035,16699.673985,
"21008009: Ward 9",10820.812461,14208.862115,29.275208,988.379441,64.73313,7.0323,26119.094655,
"21008010: Ward 10",6980.445528,13373.566826,51.334309,695.729502,90.28295,96.2528,21287.611915,
"21008011: Ward 11",403.447298,288.147275,12.036306,5527.52725,9.87213,17.8167,6258.846959,
"21008012: Ward 12",4385.653706,3314.676644,13.5135,3724.022188,40.08082,3.5684,11481.515258,
"21008013: Ward 13",7648.916151,5575.107756,1,1558.606342,53.7726,34.5853,14871.988149,
"21008014: Ward 14",9230.660355,4013.151279,30.696618,3740.321856,56.2295,43.2807,17114.340308,
"21008015: Ward 15",13547.131781,2303.886747,52.802836,5634.307395,119.20982,111.3254,21768.663979,
"21009001: Ward 1",5516.17245,18436.30746,49.11137,1405.321714,189.98893,25.4759,25622.377824,
"21009002: Ward 2",2919.713081,10284.919148,48.66209,3311.674567,84.35506,37.6606,16686.984546,
"21009003: Ward 3",2213.713865,12272.283913,9.00593,946.397021,15.74426,45.7171,15502.862089,
"21009004: Ward 4",4269.605088,9055.117533,21.328336,2472.044442,77.74894,44.6919,15940.536239,
"21009005: Ward 5",7036.593954,7742.310207,16.634626,1112.900273,34.05345,32.2791,15974.77161,
"21009006: Ward 6",4317.352219,7960.148522,19.14036,1039.078352,46.10819,196.6832,13578.510843,
"21201001: Ward 1",15259.234956,139.648101,68.251662,127.311259,17.56943,14.3011,15626.316508,
"21201002: Ward 2",24300.797353,16.8644,3.50788,2.25297,29.91753,7.8466,24361.186733,
"21201003: Ward 3",22613.468146,17.275538,1.1338,0,17.34849,11.1839,22660.409874,
"21201004: Ward 4",21640.362126,3.41057,1.14297,0,3.54085,12.3434,21660.799916,
"21201005: Ward 5",30478.24881,55.556615,4.62785,19.601276,5.73785,57.0014,30620.773801,
"21201006: Ward 6",27420.967461,4.695384,9.172032,1.19894,6.93679,82.2667,27525.237307,
"21201007: Ward 7",20824.626523,16.087481,5.72788,7.54497,4.59682,8.9312,20867.514874,
"21201008: Ward 8",23396.332745,14.53168,12.29976,18.44,2.39788,20.4395,23464.441565,
"21201009: Ward 9",23007.495349,76.371656,27.12118,44.198284,38.96141,14.5199,23208.667779,
"21201010: Ward 10",23224.862614,6.929066,5.68188,5.64891,7.19364,43.0917,23293.40781,
"21201011: Ward 11",27043.861211,10.14297,10.162802,11.033922,1.11,17.1245,27093.435405,
