SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Population group"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Population group","Black African","Coloured","Indian or Asian","White","Other","Unspecified","Total",
"South Africa by 2011 Electoral Wards",
"29300011: Ward 11",4936.609919,25837.753148,745.40406,16738.940293,562.0655,74.1436,48894.91652,
"29300012: Ward 12",6030.79114,28000.979992,17618.939278,20700.791086,866.31135,343.6262,73561.439046,
"29300013: Ward 13",955.02956,55928.324225,287.071344,54.832925,66.35081,86.6795,57378.288364,
"29300014: Ward 14",42708.105976,71.781744,4.49836,12.465862,11.2459,129.532,42937.629842,
"29300015: Ward 15",48301.208674,75.844224,10.12131,34.053881,25.86557,83.1702,48530.263859,
"29300016: Ward 16",39507.298385,48.786522,12.06742,15.333609,47.23278,45.7614,39676.480116,
"29300017: Ward 17",52772.24066,88.867265,13.49508,9.215046,26.99016,56.3373,52967.145511,
"29300018: Ward 18",50742.248403,91.865144,24.75019,19.51308,38.23606,117.0616,51033.674477,
"29300019: Ward 19",45184.301559,40.682228,25.77919,7.5371,24.74098,51.7576,45334.798657,
"29300020: Ward 20",37769.66653,49.477481,9.160896,140.17502,20.24262,48.3202,38037.042747,
"29300021: Ward 21",47922.069122,90.560928,14.57118,12.015685,55.10491,55.5206,48149.842425,
"29300022: Ward 22",52463.437162,74.55845,25.81708,10.001776,55.10491,66.9796,52695.898978,
"29300023: Ward 23",40088.185215,84.932498,19.11803,16.40302,21.36721,115.6301,40345.636073,
"29300024: Ward 24",54146.736008,53.502458,6.74754,19.622338,67.4754,75.0416,54369.125344,
"29300025: Ward 25",49401.417184,523.470098,31.600232,87.932674,75.35081,66.8411,50186.612098,
"29300026: Ward 26",39347.005995,55.564033,15.74426,8.917716,41.60983,70.6919,39539.533734,
"29300027: Ward 27",50617.816135,123.630651,7.87213,11.453778,58.47868,128.7803,50948.031674,
"29300028: Ward 28",57438.698438,143.75199,27.154336,81.012741,113.459,57.8646,57861.941105,
"29300029: Ward 29",4329.454307,44107.365307,374.116951,108.438575,143.94752,140.2394,49203.56206,
"29300030: Ward 30",56915.206164,136.384933,13.50141,8.85558,17.99344,28.219,57120.160527,
"29300031: Ward 31",10610.247086,29461.752781,330.68142,15088.795406,87.46884,98.3004,55677.245933,
"29300032: Ward 32",15262.345969,44769.432197,863.040665,142.253738,198.67866,491.2563,61727.007529,
"29300033: Ward 33",44380.935107,8721.804746,29.485604,57.635118,80.97048,130.0386,53400.869655,
"29300034: Ward 34",2640.357927,57982.485159,288.706462,81.550694,135.9508,216.8605,61345.911542,
"29300035: Ward 35",1360.760037,58468.385822,870.44369,68.431356,429.59338,234.9019,61432.516185,
"29300036: Ward 36",34939.450627,370.978309,11.327988,10.93348,30.36393,47.67,35410.724334,
"29300037: Ward 37",9986.608271,38578.568978,113.487434,25.943561,130.45244,82.526,48917.586684,
"29300038: Ward 38",14250.544271,22793.229175,117.291088,15.155682,142.82293,109.9739,37429.017046,
"29300039: Ward 39",5581.538694,3691.503572,541.839696,33924.514804,136.07539,52.3848,43927.856956,
"29300040: Ward 40",35314.087004,15443.953845,227.35257,18844.324081,289.40201,37.22738,70156.34689,
"29300041: Ward 41",42625.443772,25366.945222,208.40752,582.945677,255.27424,55.6242,69094.640631,
"29300042: Ward 42",50294.548241,207.715259,31.745298,6.858876,33.7377,171.2432,50745.848574,
"29300043: Ward 43",42019.91615,74.498838,30.23934,9.75654,38.23606,152.7347,42325.381628,
"29300044: Ward 44",62415.139171,194.212006,32.630598,14.363214,83.21966,156.9703,62896.534949,
"29300045: Ward 45",32214.028719,9919.928699,51.687736,1694.488798,64.8218,126.7965,44071.752252,
"29300046: Ward 46",47243.619814,1842.869636,15.783158,4133.143853,81.47212,171.9643,53488.852881,
"29300047: Ward 47",44709.289709,212.033515,34.86229,35.399968,41.60983,130.6157,45163.811012,
"29300048: Ward 48",6141.405673,28339.408992,1288.272081,8049.227596,589.28516,835.4309,45243.030402,
"29300049: Ward 49",2133.291789,52735.988448,314.672038,109.417856,132.70162,1298.76317,56724.834921,
"29300050: Ward 50",36727.736696,26348.879109,132.317626,67.512221,309.26225,448.7473,64034.455202,
"29300051: Ward 51",6567.951375,8754.556714,1381.234756,46176.441366,692.74744,625.8833,64198.814951,
"29300052: Ward 52",17124.012303,15842.193719,65.136574,26160.312468,108.46228,302.2666,59602.383944,
"29300053: Ward 53",13785.201405,27598.819769,179.148606,22351.737768,170.02662,373.3044,64458.238568,
"29300054: Ward 54",59417.086365,162.75802,20.11803,14.303758,127.08195,53.3055,59794.653623,
"29300055: Ward 55",64280.88016,101.893513,27.07227,18.958226,146.1967,137.0261,64712.026969,
"29300056: Ward 56",51379.150629,714.544564,15.087538,156.76867,67.4754,54.4513,52387.478101,
"29300057: Ward 57",46956.704163,125.220404,15.826348,9.879158,60.72786,119.7937,47288.151633,
"29300058: Ward 58",51187.113162,183.819268,8.99672,17.544694,48.35737,107.1642,51552.995414,
"29300059: Ward 59",47865.02326,220.991338,8.99672,19.829614,42.73442,37.649,48195.224352,
"29300060: Ward 60",22044.758047,3734.975419,152.080398,10192.555793,96.21638,9.1118,36229.697837,
"30601001: Ward 1",191.622453,6086.827213,19.5065,83.322709,89.44178,21.9952,6492.715855,
"30601002: Ward 2",935.289923,7637.80154,15.022049,2276.003746,14.56496,42.3524,10921.034618,
"30601003: Ward 3",2416.773571,3759.801646,18.30539,1024.624873,35.30459,13.3708,7268.18087,
"30601004: Ward 4",141.112303,9003.058115,39.180482,1015.691845,25.29722,20.1012,10244.441165,
"30602001: Ward 1",100.608715,15241.536548,33.47008,667.003192,31.35312,58.8776,16132.849255,
"30602002: Ward 2",603.20097,13613.399206,38.561977,524.07588,66.65378,27.0434,14872.935213,
"30602003: Ward 3",156.64302,12841.193465,18.636251,31.94773,36.48121,64.669,13149.570676,
"30602004: Ward 4",789.282735,3735.148493,32.83211,6635.944488,62.83802,142.8304,11398.876246,
"30602005: Ward 5",399.199029,12316.585236,32.52723,25.371866,32.46257,21.4057,12827.551631,
"30602006: Ward 6",399.023875,14911.605435,29.73864,319.585645,63.44188,19.6605,15743.055975,
"30602007: Ward 7",257.698042,12337.633258,27.0428,225.127362,14.28985,15.5492,12877.340512,
"30602008: Ward 8",962.912106,16513.163862,61.178547,1900.723729,35.33612,49.37355,19522.687914,
"30602009: Ward 9",524.607656,16907.96018,28.99192,1688.839912,10.40698,96.2076,19257.014248,
"30604001: Ward 1",215.061363,5253.918357,15.3735,816.386662,8.69141,9.4064,6318.837692,
"30604002: Ward 2",233.48569,6255.023481,20.02552,1766.03223,33.8319,399.0637,8707.462521,
"30604003: Ward 3",288.693494,6869.773187,7.191059,582.816197,6.20815,14.0884,7768.770487,
"30604004: Ward 4",168.281003,8882.314461,21.9049,126.121966,1.24163,9.4163,9209.28026,
"30605001: Ward 1",175.346827,9869.977784,50.986932,1773.151757,14.97389,11.1907,11895.62789,
"30605002: Ward 2",371.037414,11638.80473,52.835021,1420.860835,70.9921,75.7663,13630.2964,
"30605003: Ward 3",691.977762,9611.630473,23.160928,1351.546897,16.89347,10.3946,11705.60413,
"30605004: Ward 4",403.623183,11322.616282,52.456799,2635.679359,15.85926,50.9201,14481.154983,
"30605005: Ward 5",109.701082,8260.391309,5.447789,1746.570442,18.21552,18.3092,10158.635342,
"30606001: Ward 1",241.247062,7729.507695,36.467104,1159.696677,24.22289,84.8316,9275.973028,
"30606002: Ward 2",181.971511,6776.338892,22.590439,1054.070078,8.76574,25.8151,8069.55176,
"30606003: Ward 3",181.116236,7523.614702,9.535718,2400.678414,1.32653,17.783,10134.0546,
"30606004: Ward 4",472.592118,6117.27936,29.31961,1373.313978,10.61958,4.4927,8007.617346,
"30607001: Ward 1",2190.02361,5977.434229,18.716574,293.069377,47.8185,0,8527.06229,
"30607002: Ward 2",165.771064,6937.373951,17.048052,6.280846,12.12255,1.1047,7139.701163,
"30607003: Ward 3",485.208094,6588.926594,10.249,54.153278,19.60779,5.879,7164.023756,
"30607004: Ward 4",1059.432273,6639.475711,18.66768,2877.161247,23.64864,35.20462,10653.590171,
"30701001: Ward 1",4409.419164,8567.958911,29.934429,757.627441,47.72251,16.8675,13829.529955,
"30701002: Ward 2",731.407632,13735.782356,51.193814,923.141079,37.74505,52.0754,15531.345331,
"30701003: Ward 3",1206.995673,12669.984807,29.115728,1984.262993,31.6551,64.2199,15986.234201,
"30701004: Ward 4",3613.664134,4253.637291,13.930636,1402.507516,39.91235,10.6406,9334.292527,
"30702001: Ward 1",10660.701865,6782.278602,38.952078,1815.481655,17.24705,70.4517,19385.11295,
"30702002: Ward 2",6969.471918,6055.093606,20.26944,627.599862,7.45228,161.504,13841.391106,
"30702003: Ward 3",13498.795525,1135.7088,12.23968,273.30921,17.89024,37.6863,14975.629755,
"30702004: Ward 4",6607.054556,9731.962867,57.4612,593.450252,23.73963,16.7939,17030.462405,
"30702005: Ward 5",9118.930543,929.536862,58.580735,1872.447091,120.52695,51.7827,12151.804881,
"30703001: Ward 1",590.807785,16366.048626,108.63416,29.231102,22.68751,103.0843,17220.493483,
"30703002: Ward 2",1462.647087,19076.024118,56.984329,15.366322,73.23915,93.7887,20778.049706,
"30703003: Ward 3",14184.864183,744.014062,22.305808,489.91067,14.44783,45.5164,15501.058953,
"30703004: Ward 4",6351.991063,5383.344712,20.954849,320.06579,34.96804,19.1106,12130.435054,
"30703005: Ward 5",2633.509824,6016.856428,53.895853,9241.249213,29.96999,53.4167,18028.898008,
"30703006: Ward 6",6786.220851,8149.415734,30.675682,1459.487838,38.63685,34.4542,16498.891155,
"30703007: Ward 7",3290.214202,12482.783085,34.747269,1501.823703,23.52953,13.5948,17346.692589,
"30704001: Ward 1",311.66148,5350.852225,21.219201,1595.344399,30.18941,7.7868,7317.053515,
"30704002: Ward 2",547.145706,9578.796817,19.587262,2.352779,2.48326,21.2248,10171.590624,
"30704003: Ward 3",241.209326,6009.64834,16.422968,1082.501618,9.27389,11.758,7370.814142,
"30704004: Ward 4",137.037818,6914.574306,28.934496,663.1221,15.65184,15.7057,7775.02626,
"30705001: Ward 1",1039.122746,6373.157281,18.076112,807.170785,8.0817,7.8322,8253.440824,
"30705002: Ward 2",4246.624699,6184.526706,26.86413,19.34775,15.84744,5.5235,10498.734225,
"30705003: Ward 3",542.015091,2323.139586,7.52411,1128.477125,16.29917,4.4854,4021.940482,
"30705004: Ward 4",2860.957674,2890.602716,14.28985,900.00548,22.80787,17.2671,6705.93069,
"30706001: Ward 1",836.489467,9029.39126,16.791795,1126.918241,14.06004,9.4165,11033.067303,
"30706002: Ward 2",1087.241135,5485.804962,15.87267,4612.730824,22.22539,15.1406,11239.015581,
"30706003: Ward 3",1205.762992,8608.006043,33.544503,3.749122,16.47936,35.3968,9902.93882,
"30706004: Ward 4",2470.565837,9003.498773,46.65425,1.265862,11.96457,34.3924,11568.341692,
"30707001: Ward 1",6985.969243,9658.501341,30.729909,0,22.0778,56.3257,16753.603993,
"30707002: Ward 2",445.424206,10317.647067,25.880656,4.2792,8.0817,30.345,10831.657829,
"30707003: Ward 3",1228.976417,11606.608321,70.979295,2409.379883,31.01209,49.9944,15396.950406,
"30707004: Ward 4",1114.837443,12726.230536,23.44627,3313.225403,15.92177,16.1354,17209.796822,
"30708001: Ward 1",1875.337506,14852.640587,53.330265,1955.128662,134.40948,113.2655,18984.112,
"30708002: Ward 2",11587.319855,12715.671525,27.2871,2172.2285,31.63271,347.8901,26882.02979,
"30708003: Ward 3",9511.575913,4425.703888,17.85676,457.63502,27.51826,26.346,14466.635841,
"30708004: Ward 4",2084.089456,14166.16966,116.18607,887.112772,98.49357,44.218,17396.269528,
"30708005: Ward 5",2074.113706,14317.70766,30.172062,2006.552058,85.42705,148.616,18662.588536,
"30708006: Ward 6",5402.80101,10099.263401,45.191169,2469.27811,150.17577,200.32444,18367.0339,
"30801001: Ward 1",25.826844,978.958422,3.97959,264.172138,0,2.3516,1275.288594,
"30801002: Ward 2",182.669568,8567.962898,6.52411,395.260812,14.58001,34.3003,9201.297698,
"30801003: Ward 3",133.809373,5818.123307,25.05559,11.84939,6.04085,11.1485,6006.02701,
"30801004: Ward 4",80.414726,4472.214004,9.77756,238.428822,21.89761,61.1555,4883.888222,
"30802001: Ward 1",15265.513017,8555.123132,124.397318,1273.63488,515.70031,23.6454,25758.014057,
"30802002: Ward 2",6549.603587,13260.647123,34.43238,1738.4383,626.96428,14.6497,22224.73537,
"30802003: Ward 3",3891.145433,11549.025821,50.50621,2788.293678,85.56586,59.1445,18423.681502,
"30802004: Ward 4",2556.849439,13603.319113,57.484149,900.056809,53.95573,12.9656,17184.63084,
"30802005: Ward 5",992.848472,11809.437207,34.502922,2695.854769,50.123,45.2215,15627.98787,
"30802006: Ward 6",281.238213,18142.193581,104.079279,7.44978,30.1595,38.7856,18603.905953,
"30802007: Ward 7",2612.575964,13340.879857,56.802884,1020.825394,56.32735,54.804,17142.215449,
"30802008: Ward 8",8078.173629,18892.389663,46.75581,1825.649215,21.20084,46.0022,28910.171357,
"30802009: Ward 9",1487.603252,15231.109175,63.956361,1692.409876,74.49526,19.7479,18569.321824,
"30803001: Ward 1",416.054658,20901.167816,86.922621,19.213752,104.70172,213.983,21742.043567,
"30803002: Ward 2",462.593828,17416.868926,51.436292,23.31827,59.05516,12.5058,18025.778276,
"30803003: Ward 3",343.771022,16091.318621,52.42414,5.172964,21.12992,48.3669,16562.183567,
"30803004: Ward 4",299.073423,14983.510091,33.845089,19.45715,32.95872,11.2422,15380.086673,
"30803005: Ward 5",593.194441,17345.237345,55.50702,708.764111,62.41967,89.5142,18854.636787,
"30803006: Ward 6",13791.581475,2381.481917,16.95214,9.372184,54.38239,730.789,16984.559106,
"30803007: Ward 7",9708.143714,1318.586538,6.68209,6,74.42866,65.9409,11179.781902,
"30803008: Ward 8",1264.352994,5315.409909,46.374066,11751.366014,164.65882,420.8796,18963.041403,
"30803009: Ward 9",1670.30181,5120.169672,33.182964,12218.955455,44.86041,73.78616,19161.256471,
"30803010: Ward 10",687.509117,15762.54227,94.07444,923.59907,90.66639,28.0626,17586.453887,
"30803011: Ward 11",1439.285095,17129.725921,91.857948,2234.122542,100.50107,181.8441,21177.336676,
"30803012: Ward 12",2409.912801,13725.875066,89.159837,2035.081413,102.36246,61.4994,18423.890977,
"30803013: Ward 13",15289.351254,5271.743538,13.43851,282.498352,90.68698,49.6309,20997.349534,
"30803014: Ward 14",1434.015053,13641.953413,64.390757,2017.72196,115.97454,19.0654,17293.121123,
"30804001: Ward 1",752.719802,12012.798587,35.43159,955.43293,2.32653,36.7551,13795.464539,
"30804002: Ward 2",519.226783,11289.82283,76.663618,1256.668961,175.03758,50.988,13368.407772,
"30804003: Ward 3",673.269751,9153.210864,50.170399,1200.371381,41.64169,41.6796,11160.343685,
"30804004: Ward 4",366.511212,9130.911984,10.602856,357.415754,6.52411,25.8383,9897.804216,
"30805001: Ward 1",1314.337992,8399.922595,28.143416,896.917423,51.06838,363.8852,11054.275006,
"30805002: Ward 2",6898.325877,7164.442877,29.702209,8.84939,68.85243,34.7759,14204.948683,
"30805003: Ward 3",3381.399682,9990.723961,36.541629,194.213116,19.88829,131.6873,13754.453978,
"30805004: Ward 4",16057.813663,133.182103,13.28053,4.04085,16.00542,35.5773,16259.899866,
"30805005: Ward 5",7737.649813,3234.627651,63.81621,5865.060352,29.52953,59.1664,16989.849956,
"30805006: Ward 6",5823.102227,7010.369909,102.959526,3243.186689,38.48676,37.4405,16255.545611,
"30806001: Ward 1",10384.120924,320.532685,23.61318,5.197196,11.0389,26.3441,10770.846985,
"30806002: Ward 2",1946.592893,6106.432508,67.290884,1775.047,34.78785,918.6712,10848.822335,
"30806003: Ward 3",3308.849465,9212.99959,76.39883,1475.113473,92.78927,121.3983,14287.548928,
"30806004: Ward 4",7264.223457,2715.309658,37.161104,3564.015784,14.07061,40.2243,13635.004913,
"30901001: Ward 1",1591.839114,21713.221928,344.732018,43.769998,195.65667,329.8864,24219.106128,
"30901002: Ward 2",1793.89308,21907.422611,214.839365,36.333436,303.03149,242.6558,24498.175782,
"30901003: Ward 3",3647.892485,19401.344223,463.731482,90.215008,109.85613,321.7092,24034.748528,
"30901004: Ward 4",16879.663486,3032.604302,35.880065,9.553242,67.11465,64.8039,20089.619645,
"30901005: Ward 5",21181.164239,1623.409733,20.828962,38.990081,16.47936,74.2503,22955.122675,
"30901006: Ward 6",17487.701528,2232.376451,21.098058,11.396684,21.12992,15.2954,19788.998041,
"30901007: Ward 7",22109.194301,2710.806707,33.40403,7.498244,32.48478,71.8729,24965.260962,
"30901008: Ward 8",16980.007904,5338.28875,113.809884,4445.349047,48.99405,186.7949,27113.244535,
"30901009: Ward 9",20222.037322,396.160739,5.28248,1.24163,8.23968,93.0333,20725.995151,
"30901010: Ward 10",19589.69237,764.569825,2.33606,13.2062,25.32875,96.5741,20491.707305,
"30901011: Ward 11",20715.395239,584.400762,29.171632,5.72489,4.04085,14.9714,21353.704773,
"30901012: Ward 12",16602.65742,991.021001,9.00737,18.55157,26.16535,6.3509,17653.753611,
"30901013: Ward 13",22264.314777,4009.237634,25.37155,10.72489,28.28595,52.4238,26390.358601,
"30901014: Ward 14",1783.502084,14783.354572,1763.48166,105.478253,100.8636,400.26,18936.940169,
"30901015: Ward 15",18149.973842,1844.814114,23.46598,1,19.1206,52.9285,20091.303036,
"30901016: Ward 16",16928.256889,1968.25986,28.74992,13.672842,34.92719,22.7253,18996.592001,
"30901017: Ward 17",21954.065426,2311.965818,56.49931,40.096584,48.4902,31.1483,24442.265638,
"30901018: Ward 18",11835.491304,1562.652234,16.05162,0,14.92177,100.443,13529.559928,
"30901019: Ward 19",19975.087401,1536.760143,12.99849,116.639186,22.52021,118.6867,21782.69213,
"30901020: Ward 20",5771.638653,7323.669523,505.73077,6405.525355,230.69957,139.1779,20376.441771,
"30901021: Ward 21",3749.517821,5762.908637,1371.453653,10850.161891,109.2799,194.4629,22037.784802,
"30901022: Ward 22",4720.434004,14406.110463,154.905392,3785.313351,99.78732,89.5626,23256.11313,
"30901023: Ward 23",2951.712141,3745.168659,275.128666,15194.828784,92.90835,232.4089,22492.1555,
"30901024: Ward 24",1896.052357,906.318746,87.608936,14371.526342,32.9143,39.1256,17333.546281,
"30901025: Ward 25",4417.128262,4728.777976,123.338197,8519.293723,77.72436,57.2073,17923.469818,
"30901026: Ward 26",16315.702501,5039.207146,75.302063,3604.969061,56.23498,25.7083,25117.124051,
"30901027: Ward 27",4838.805906,15172.499179,104.746464,514.817041,2504.33086,67.3659,23202.56535,
"30901028: Ward 28",5329.705898,18323.970157,244.106362,5196.975698,129.28675,116.3574,29340.402265,
"30901029: Ward 29",1780.543611,3019.521377,70.870352,1050.300434,17.24705,36.774,5975.256824,
"30901030: Ward 30",6689.394003,7023.071192,86.820272,105.095235,2088.63351,31.4809,16024.495112,
"30901031: Ward 31",18062.974337,2126.354538,18.49946,14.13187,22.52953,5.9991,20250.488835,
"30902001: Ward 1",14885.297766,369.23824,14.60581,6.52411,88.83207,13.8043,15378.302296,
"30902002: Ward 2",4695.893262,9920.717968,50.800471,2897.588911,114.5389,98.9262,17778.465712,
"30902003: Ward 3",14123.761239,4412.235886,31.679674,30.132524,127.20904,56.3518,18781.370163,
"30902004: Ward 4",12553.652255,5578.02489,89.319195,572.012378,198.29791,33.6872,19024.993828,
"30902005: Ward 5",8177.553545,10466.35625,71.81896,535.441864,414.37403,33.9962,19699.540849,
"30902006: Ward 6",8563.725463,4693.516937,37.532359,3119.444633,764.00862,67.9096,17246.137612,
"30902007: Ward 7",10610.9528,3545.719005,51.882232,15.876018,2452.42629,44.1789,16721.035245,
"30903001: Ward 1",17279.383288,714.940114,36.6614,1.39961,16.1634,65.7946,18114.342412,
"30903002: Ward 2",13799.320502,440.782851,18.17272,1.24163,4.79922,12.4309,14276.747823,
"30903003: Ward 3",7590.026736,422.150225,4.19883,0,1.24163,3.3839,8021.001321,
"30903004: Ward 4",5263.164133,7625.205959,98.587633,1331.585871,32.50537,18.4497,14369.498666,
"30903005: Ward 5",7638.375645,1468.063645,198.045188,4227.799464,20.9225,59.5353,13612.741742,
"30904001: Ward 1",17380.655567,112.98949,11.71798,6.907246,24.47212,1.084,17537.826403,
"30904002: Ward 2",20151.331633,90.335253,41.57851,0,19.25574,9.4738,20311.974936,
"30904003: Ward 3",15987.81676,475.41568,19.28226,784.395302,11.75356,14.2848,17292.948362,
"30904004: Ward 4",20527.91723,856.033183,25.94828,2913.673125,20.96969,29.6537,24374.195208,
"30904005: Ward 5",8667.198952,8126.042244,53.01507,2299.133223,90.17024,36.4217,19271.981429,
"30904006: Ward 6",5189.235372,1017.018122,43.161261,8189.176692,33.03268,26.7067,14498.330827,
"30904007: Ward 7",14328.602523,4096.23771,37.864319,24.128398,72.23915,41.3567,18600.4288,
"30904008: Ward 8",18567.843432,1345.289075,29.49366,1680.319535,18.88954,37.829,21679.664242,
"30904009: Ward 9",21040.044536,4806.774914,21.403204,2397.688442,28.69863,50.2253,28344.835026,
"34501001: Ward 1",16798.061084,80.489082,22.3998,17.272746,10.64566,18.9684,16947.836772,
"34501002: Ward 2",20337.803651,62.264682,9.570475,44.324256,22.9332,37.7713,20514.667564,
"34501003: Ward 3",18542.915333,508.670449,25.62456,8.33208,25.50828,8.9268,19119.977502,
"34501004: Ward 4",16073.00624,2345.816052,33.420086,3690.434812,20.32653,69.9227,22232.92642,
"34501005: Ward 5",19501.623494,51.113637,10.667299,37.14444,5.3587,10.9414,19616.84897,
"34501006: Ward 6",19749.495908,61.79684,6.39486,1.07174,3.17964,8.8526,19830.791588,
"34501007: Ward 7",17907.801721,58.982595,6.3587,2.21424,1,26.6339,18002.991156,
"34501008: Ward 8",20183.903217,61.369474,11.9266,24.247626,4.28696,45.4798,20331.213677,
"34501009: Ward 9",22924.860737,20.849032,19.34322,6.3093,2.1079,43.4949,23016.965089,
"34501010: Ward 10",20031.99052,43.73219,13.811198,5.3101,2.14348,2.2342,20099.221688,
"34501011: Ward 11",19248.84377,113.569686,19.499429,5.998706,20.22074,1.1171,19409.249431,
"34501012: Ward 12",19696.662496,29.984007,19.180555,18.788128,6.3237,28.875,19799.813886,
"34501013: Ward 13",24602.30738,399.041622,32.14984,7.17964,4.25138,13.3291,25058.258962,
"34501014: Ward 14",17414.408179,72.516887,26.70834,16.750726,4.25138,22.3254,17556.960912,
"34501015: Ward 15",17824.551815,468.472382,32.77094,9.53892,21.11458,16.4885,18372.937137,
"34502001: Ward 1",3899.133304,1401.591517,112.792354,11092.038421,107.01421,76.13833,16688.708136,
"34502002: Ward 2",13165.643985,1572.817186,27.82966,693.625525,22.11284,26.9504,15508.979596,
"34502003: Ward 3",19896.823098,144.107561,73.149363,8.41386,50.30062,34.8033,20207.597802,
"34502004: Ward 4",14805.020472,36.584791,31.986849,4.143372,8.57392,0,14886.309404,
"34502005: Ward 5",7833.182942,34.531838,10.57508,1.03616,3.21522,4.3872,7886.92844,
"34502006: Ward 6",21007.769962,148.438207,13.06054,123.82288,59.69722,13.2453,21366.034109,
"34502007: Ward 7",16199.297514,63.063206,8.53834,3.17964,5.32312,27.6118,16307.01362,
"34502008: Ward 8",17480.373173,37.799632,13.82588,6.250692,11.71798,12.1822,17562.149557,
"34502009: Ward 9",9472.35574,64.405143,4.28696,12.580636,13.7903,5.5352,9572.953979,
"34502010: Ward 10",28650.063681,301.780989,37.96767,16.609756,42.08336,13.3618,29061.867256,
"34502011: Ward 11",17070.334181,734.016458,32.02038,297.509001,9.5745,20.0578,18163.51232,
"34502012: Ward 12",23078.143987,298.528456,19.382978,8.876618,19.82646,28.92,23453.678499,
"34502013: Ward 13",2148.484847,12968.786803,120.680188,34.32984,41.80811,30.2972,15344.386988,
"34503001: Ward 1",7414.050998,3462.225119,73.691288,12946.498764,65.91582,31.7387,23994.120689,
"34503002: Ward 2",9278.637898,5281.075041,36.73573,1141.963191,73.05896,27.0455,15838.51632,
"34503003: Ward 3",7703.617104,6751.526718,53.131762,361.837402,172.57885,30.6758,15073.367636,
"34503004: Ward 4",6606.005618,10245.566056,57.766501,1649.0579,310.15566,49.4687,18918.020435,
"34503005: Ward 5",11545.536121,756.483331,52.82118,771.546051,85.91692,1.23245,13213.536053,
"41601001: Ward 1",5568.663548,10609.079278,33.577676,1466.06494,12.49922,43.412,17733.296662,
"41601002: Ward 2",12106.001688,4672.817674,27.178952,123.28968,27.18046,51.0091,17007.477554,
"41601003: Ward 3",17760.787156,4801.638864,27.075726,4795.486152,26.54014,78.1416,27489.669638,
"41601004: Ward 4",11273.51648,4588.731372,18.23864,15.494838,30.92342,13.0236,15939.92835,
"41601005: Ward 5",15019.665242,2762.751416,33.11419,3028.274714,35.81471,9.7677,20889.387972,
"41601006: Ward 6",14715.590952,1137.655306,26.117216,1926.919602,20.49294,37.9855,17864.761516,
"41602001: Ward 1",15176.536472,979.745356,27.75293,2957.538904,14.61228,6.5118,19162.697742,
"41602002: Ward 2",14299.851638,5032.89035,26.726,2064.476552,39.83379,46.6679,21510.44623,
"41602003: Ward 3",15863.461894,2220.631564,56.988656,2193.228426,29.25396,9.7677,20373.3322,
"41602004: Ward 4",8749.387692,5808.16114,25.770556,2036.100006,61.92508,13.0236,16694.368074,
"41602005: Ward 5",12818.068096,5170.443762,28.040734,1540.82499,9.35741,7.5971,19574.332092,
"41602006: Ward 6",13674.387434,2058.366954,32.072112,1588.383204,31.13839,4.3412,17388.689294,
"41602007: Ward 7",14239.711906,3784.164956,27.825574,2469.014452,15.84071,5.4265,20541.984098,
"41602008: Ward 8",15382.045218,3116.066144,29.527476,1456.424598,26.28654,10.853,20021.202976,
"41603001: Ward 1",13369.91286,17.045194,5.75356,6.2562,4.71672,0,13403.684534,
"41603002: Ward 2",21547.479122,1127.261734,33.942676,2630.97983,30.70103,22.7913,25393.155692,
"41603003: Ward 3",18972.37943,219.443802,9.34693,989.087156,3.88532,3.2559,20197.398538,
"41603004: Ward 4",11097.132264,697.28485,5.87146,616.432094,2.39308,22.7913,12441.905048,
"41603005: Ward 5",12027.494114,209.421758,47.19201,2480.666858,3.40936,3.2559,14771.44,
"41603006: Ward 6",18074.578158,975.068138,20.369808,1377.919628,15.77922,33.6443,20497.359252,
"41604001: Ward 1",19274.359792,364.065534,54.198008,2412.149958,29.82306,66.2033,22200.799652,
"41604002: Ward 2",18173.001578,313.67436,16.4919,1115.831086,14.76962,10.853,19644.621544,
"41604003: Ward 3",15912.23026,293.32075,164.110136,1247.527408,25.45829,26.0472,17668.694044,
"41604004: Ward 4",15883.839006,1265.765232,19.749796,0,4.42189,17.3648,17191.140724,
"41801001: Ward 1",11084.972256,101.733514,33.889834,3222.798494,7.92948,14.1089,14465.432478,
"41801002: Ward 2",18841.923654,754.843662,23.920654,2491.55158,9.07292,16.2795,22137.59197,
"41801003: Ward 3",25115.244768,303.14932,22.95269,1737.752802,14.08072,49.9238,27243.1041,
"41801004: Ward 4",11315.234316,375.380716,40.825266,2685.473922,34.64923,4.3412,14455.90465,
"41801005: Ward 5",23834.138384,325.001696,24.5138,182.900328,27.39659,30.3884,24424.339198,
"41801006: Ward 6",16775.530558,159.605536,35.86776,3826.727942,29.01316,53.6576,20880.402556,
"41801007: Ward 7",18929.730112,85.208098,16.27272,18.741248,12.66254,56.4356,19119.050318,
"41801008: Ward 8",15308.201976,74.608912,12.97793,8.829564,5.84382,7.5971,15418.059302,
"41801009: Ward 9",19614.18925,133.958148,26.9649,124.913684,9.11562,2.1706,19911.312202,
"41801010: Ward 10",15294.04189,216.3158,5.84382,3.2815,17.76784,2.1706,15539.42145,
"41802001: Ward 1",18068.579994,390.939542,97.25174,2312.474484,15.64728,51.0091,20935.90214,
