SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Education level (grouped)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Education level (grouped)","No schooling","Some primary","Complete primary","Some secondary","Grade 12/Std 10","Higher","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"10404014: Ward 14",1701.69562,6546.488926,1996.370556,8608.740893,4469.914025,934.209417,305.24209,2543.97984,27106.641367,
"10404015: Ward 15",777.584819,2853.875913,770.787846,3701.014931,1845.899042,178.136755,4.79085,1520.321956,11652.412112,
"10404016: Ward 16",1123.615518,5683.046906,1656.239174,7465.092878,3641.623461,487.354126,226.69219,2436.374274,22720.038527,
"10404017: Ward 17",2454.029985,6494.675503,1961.062164,7147.951092,2669.883417,212.047389,254.64324,2727.258274,23921.551064,
"10404018: Ward 18",347.56023,1392.049081,286.057636,2958.500212,4226.897077,3568.639404,158.48331,734.508754,13672.695704,
"10404019: Ward 19",529.600165,2173.447859,534.010409,6594.517023,7974.728707,3529.518678,681.96775,1588.671558,23606.462149,
"10404020: Ward 20",1902.871933,6042.781546,1650.22886,5664.511109,1667.020815,81.943671,198.67651,2175.241582,19383.276026,
"10404021: Ward 21",1090.31117,4002.389313,976.872803,4327.808254,1795.149356,163.294923,3.43292,1957.390468,14316.649207,
"10404022: Ward 22",2342.786399,6929.762217,1626.196448,5571.039884,4020.133527,2692.926773,411.355,2193.005341,25787.205589,
"10404023: Ward 23",915.97849,4270.358285,1022.371081,4993.157946,3526.568356,2756.328526,191.21082,2699.92699,20375.900494,
"10404024: Ward 24",1770.441153,7278.531377,1754.26596,4917.161021,1305.907614,575.601785,181.79416,2088.349645,19872.052715,
"10404025: Ward 25",2688.336307,7816.849326,2005.145179,5942.167373,2183.654825,714.47087,160.58684,2451.116731,23962.327451,
"10405001: Ward 1",1477.186079,4523.108774,1128.677075,3226.3559,3891.893056,1871.664801,111.77663,1555.805277,17786.467592,
"10405002: Ward 2",1220.180626,5062.585768,1098.192753,4020.371307,4057.746672,2148.730835,613.06166,1618.566857,19839.436478,
"10405003: Ward 3",1006.681633,3504.0466,1124.467477,5976.004481,4636.147814,2342.217713,305.45012,2301.018725,21196.034563,
"10405004: Ward 4",1773.547569,4521.797907,1504.374217,5349.194088,1859.340031,298.662714,101.568,1827.687504,17236.17203,
"10405005: Ward 5",1055.306255,4457.300708,1302.889647,4535.566986,1266.936254,119.320551,39.0595,1589.106638,14365.486539,
"10405006: Ward 6",1368.065481,5663.870205,1800.284352,7388.322513,2883.030859,1228.995228,94.9184,2438.885143,22866.372181,
"10405007: Ward 7",1262.741736,4653.990383,1645.329282,8051.401162,4312.302842,835.286391,571.50869,2529.715136,23862.275622,
"10405008: Ward 8",3094.420225,8535.07785,2584.23971,9362.036546,3046.51555,325.272852,227.29698,3449.365574,30624.225287,
"10405009: Ward 9",1974.045418,6225.62099,1866.50086,4502.522835,1399.691945,149.83379,96.6932,2263.029878,18477.938916,
"10405010: Ward 10",1580.282697,5990.937018,1742.691341,4153.118006,949.353112,72.244528,86.5142,2076.470935,16651.611837,
"10405011: Ward 11",2914.18527,9675.641006,2197.201602,5340.97915,1865.593804,574.036314,181.08544,3133.2241,25881.946686,
"10405012: Ward 12",1535.932668,6189.327159,1823.599423,4123.874404,1308.956156,263.012384,83.10882,2190.366372,17518.177386,
"10405013: Ward 13",907.540134,3124.171675,1083.078314,4249.89445,2043.826121,485.087927,109.74212,1497.019056,13500.359797,
"10407001: Ward 1",1290.997954,4723.598952,1425.728587,4848.914311,2353.849038,1424.010821,177.77574,1994.575027,18239.45043,
"10407002: Ward 2",630.172941,1993.683012,538.333749,3426.327082,4990.477889,3952.710222,579.34708,1831.45541,17942.507385,
"10407003: Ward 3",527.049055,2127.363166,763.840517,3306.495539,1170.250025,223.355086,40.4712,875.584273,9034.408861,
"10407004: Ward 4",921.479563,3930.600979,1218.534035,4727.553296,2008.957697,429.87088,287.89295,1578.88417,15103.77357,
"10407005: Ward 5",867.188927,2440.418979,728.949277,3746.088893,1941.79991,298.096909,41.62448,1182.376242,11246.543617,
"10407006: Ward 6",191.135655,1295.078343,363.608422,1977.148532,1361.509868,142.641803,5.89272,736.595336,6073.610679,
"10407007: Ward 7",896.073093,4843.597474,1469.791666,5789.41352,2885.199185,862.021225,463.42895,1921.051116,19130.576229,
"10408001: Ward 1",615.745696,2854.216975,878.51953,3519.209999,2425.009916,1118.861418,121.6158,1169.064161,12702.243495,
"10408002: Ward 2",699.271402,2828.471801,874.084732,3433.145214,2775.540901,1555.449453,211.63327,996.74078,13374.337553,
"10408003: Ward 3",1100.884674,3347.146199,1042.161831,3983.915853,1190.747139,313.26117,121.69662,1382.59901,12482.412496,
"10408004: Ward 4",871.612717,2902.083097,930.219682,4353.585864,2656.702273,764.721845,248.77753,1265.911865,13993.614873,
"10408005: Ward 5",1001.539032,4319.906109,1111.263912,3347.840018,2305.753878,1502.297124,328.43324,1389.570845,15306.604158,
"10408006: Ward 6",1278.664736,6409.627358,2017.585757,8001.08589,3401.887072,259.332053,232.82664,2459.440184,24060.44969,
"10408007: Ward 7",1693.182186,7111.624344,2033.344622,8426.042009,3114.553943,354.442738,155.54753,2984.642105,25873.379477,
"10408008: Ward 8",968.000972,4060.147986,1165.753799,4234.384023,1901.328123,917.158405,172.06847,1639.569662,15058.41144,
"10408009: Ward 9",493.873716,2972.487415,907.799559,3867.614083,3214.636288,2523.218516,390.95391,1834.528413,16205.1119,
"10408010: Ward 10",337.317776,1409.063897,354.137894,3400.259548,4521.488232,2732.297818,811.17979,1670.883423,15236.628378,
"10501001: Ward 1",1007.978631,1857.07846,447.322576,1383.208362,542.033475,82.18566,37.1683,756.144862,6113.120326,
"10501002: Ward 2",410.077182,522.138311,145.095229,614.142495,260.122437,256.40914,23.79236,427.463593,2659.240747,
"10501003: Ward 3",17.331944,98.159584,12.888675,213.999062,167.856617,148.051541,1.26615,57.340364,716.893937,
"10501004: Ward 4",1595.252213,3297.122816,978.55669,2898.22574,875.444225,450.642201,100.89553,1196.875894,11393.015309,
"10502001: Ward 1",1388.065367,3172.627009,801.407401,2280.140267,526.091824,350.442556,92.72304,1281.799396,9893.29686,
