LocalMunicipalityCode,LocalMunicipalityName,No_schooling,Some_primary,Complete_primary,Some_secondary,Grade_12_Std_10,Higher
EC101,Camdeboo,13.376380589901368,34.50326801729726,8.94089746512234,27.49955866301604,10.968897247916804,4.710998016746197
EC102,Blue Crane Route,16.03476266679515,36.1757524271484,8.797781240070611,25.86286388760182,9.434247631220744,3.6945921471632706
EC103,Ikwezi,18.428909252530257,35.37087762678036,8.590942579351236,26.504771101450196,7.946851720625063,3.157647719262887
EC104,Makana,10.558280180392332,28.842659954689644,8.106257556723655,30.921376313358145,14.277970332509964,7.29345566232626
EC105,Ndlambe,14.97648826888866,33.57807886279615,7.577571992025119,26.508491595280265,11.609796309088377,5.7495729719214355
EC106,Sundays River Valley,16.00382985232948,37.094799707687244,8.958443876456695,27.338067777575347,8.186993769147975,2.4178650168032503
EC107,Baviaans,13.745551996809619,36.56275668439572,10.467302589260221,28.286219347143327,7.729231083965167,3.208938298425941
EC108,Kouga,9.661281871812553,29.78615689672899,8.602344010925364,31.147670078918466,15.285429011271813,5.5171181303428085
EC109,Kou-Kamma,10.385719906262226,37.0166519540202,10.92321039982789,28.931911661067677,9.763869720379251,2.9786363584427518
EC121,Mbhashe,27.79043405062734,38.8006805482093,6.678386365059261,20.725110100139084,4.0028026652236575,2.0025862707563817
EC122,Mnquma,17.91349078879617,37.45900143085372,7.843925337673458,26.980658224926934,6.5578272355075296,3.2450969822421976
EC123,Great Kei,24.883991472179126,33.330459541868656,7.5776564133850615,24.65994180537117,7.128930220371579,2.4190205468244095
EC124,Amahlathi,16.361577847632912,37.32989115958248,9.56329379058798,27.76847976529215,6.601765961569327,2.3749914753351744
EC126,Ngqushwa,19.9745741051011,34.40589986373657,8.85919552615143,27.64828552193338,7.035336401907593,2.0767085811699206
EC127,Nkonkobe,12.801697590489436,34.25269779975568,9.362243867582757,29.667207165211384,9.872413865592062,4.043739711368692
EC128,Nxuba,12.734376478607098,35.02677591503126,9.619038404713368,30.884118573611048,8.201255497003876,3.5344351310333373
EC131,Inxuba Yethemba,15.587454690090555,33.90518368883068,8.241664217450019,27.13664824710009,10.509652905171961,4.619396251356684
EC132,Tsolwana,21.700272212083757,38.067798798602034,7.688021064806348,23.4982803645872,6.469652217609617,2.5759753423110423
EC133,Inkwanca,19.932207674706728,38.833196035667854,7.701830422189548,22.915513807864667,7.130769972122479,3.4864820874487155
EC134,Lukanji,13.829411490410779,31.40942602818312,7.618581367517249,29.906796503487477,11.823742399793062,5.412042210608319
EC135,Intsika Yethu,20.57489185782432,42.23123899126115,8.06243380830591,23.202166990992076,3.7905191301936663,2.1387492214228705
EC136,Emalahleni,24.064243582928313,41.36066139829376,6.916573257190101,21.34966332360753,4.287064332072607,2.0217941059076874
EC137,Engcobo,26.715201664946647,40.90796545573116,6.558883514026019,20.25493990218265,3.7296336842565996,1.8333757788569156
EC138,Sakhisizwe,18.466228476078097,39.82777548429508,7.457034204516577,25.30729338666743,5.986393019670679,2.9552754287721394
EC141,Elundini,19.67809609985489,42.64674732465277,8.004086517124653,23.05036076421725,4.519934922330626,2.1007743718198064
EC142,Senqu,18.839756004324563,40.54151916422966,7.554264134017178,25.006224862678184,5.5475190599343405,2.510716774787743
EC143,Maletswai,16.14732264067613,34.515703390640795,7.261337435797106,26.01822900331744,11.245596178188928,4.811811351379601
EC144,Gariep,21.358634879385246,37.18383451640687,7.0811620170002545,22.63161292870692,7.955119712122614,3.7896359463780893
EC153,Ngquza Hill,27.005231019592834,39.49377283251678,6.1292711940015145,20.723808290886545,4.714284444596481,1.9336322183906332
EC154,Port St Johns,30.016426451621754,40.4474240399262,5.82495011122387,18.322395387714163,3.9787345804416563,1.4100694290723486
EC155,Nyandeni,25.33788159110185,38.08976062347051,6.472096034752188,23.126349664053585,5.44919591200868,1.52471617461319
EC156,Mhlontlo,21.164150803634975,39.37487373625599,7.289599852397395,25.35069666795159,4.782662519724975,2.0380164200350634
EC157,King Sabata Dalindyebo,21.73391583472587,33.215252448066735,6.0842836722953155,25.31429367676158,9.057061384827355,4.595192983323134
EC441,Matatiele,15.806922886985717,42.566118516032155,8.655470970091296,25.862297757763773,4.896322533234046,2.2128673358930055
EC442,Umzimvubu,15.502648140226674,41.23928197291146,8.3518545259718,27.115814872337307,5.350618173822761,2.439782314710144
EC443,Mbizana,25.38475359610246,41.36043650022177,6.310029188502934,20.691710566336916,4.532118914576124,1.7209512342442834
EC444,Ntabankulu,25.406015442378703,42.893157649269966,6.380214864687299,20.083681339644716,3.8343975191657726,1.4025331848535443
BUF,Buffalo City,10.450503723399649,24.840880362613106,7.611494876665042,34.06118581035649,15.916150777772595,7.119784449187893
NMA,Nelson Mandela Bay,7.126437119837685,23.17176422669318,7.186863322571811,36.8876018602787,18.6567355655109,6.970597905107717
FS161,Letsemeng,21.640595699977556,34.573498245141074,7.691194991282302,23.87897055247728,9.294788233328125,2.9209522777936723
FS162,Kopanong,17.86952009774707,34.512633502090814,7.905569704790791,26.11410220003506,10.018404047053092,3.5797704482831927
FS163,Mohokare,17.186207318071673,40.84017940677114,8.180420923360336,22.21699514854685,8.069969022361057,3.5062281808889373
FS164,Naledi,13.059589521930516,40.97538574601195,8.920611195456175,25.804760306058256,8.425623564677922,2.8140296658651733
FS181,Masilonyana,14.755044791587773,35.01145786903753,8.706257108496683,28.862249651123093,10.204185816613935,2.46080476314099
FS182,Tokologo,25.666458462112228,35.015339430367234,6.978343965659871,21.190575815554986,8.694876505349205,2.4544058209564894
FS183,Tswelopele,19.63780728380453,37.16558957505547,8.292037246055028,24.057748329392826,8.155503417626395,2.6913141480657536
FS184,Matjhabeng,11.151697696754846,28.498059872468062,8.084697771279592,33.80039768128438,13.975103415966716,4.490043562255112
FS185,Nala,14.490399519364724,35.97044792321335,8.983941276146485,27.813607967524362,10.010056442393958,2.7315468713571143
FS191,Setsoto,15.092499936277488,34.26936722571901,8.879726520810099,28.149020520585648,10.179189013969578,3.430196782638178
FS192,Dihlabeng,14.173466069547056,31.008767802554004,7.249207790885702,28.660751346967462,13.709223102270348,5.198583887775419
FS193,Nketoana,19.904547805740805,35.368671287559934,7.220433208957866,25.140552675857474,9.14690277254574,3.2188922493381815
FS194,Maluti a Phofung,15.747575148117654,31.31767205032202,6.647557729457193,30.201357461296297,12.332822764326167,3.75301484648067
FS195,Phumelela,18.5024470556491,37.653265587470436,7.276219260165881,24.488744806782183,9.027498543014383,3.0518247469180335
FS196,Mantsopa,12.85336477588134,34.92011575631918,9.134823201977218,28.488573085121317,10.655698977340766,3.9474242033601783
FS201,Moqhaka,10.828588814686276,31.37951149951503,8.032395881058786,31.179820062104397,13.827971997699025,4.751711744959324
FS203,Ngwathe,13.74247498355517,33.26088446554516,7.313316140210503,29.583048649098437,12.4137895922596,3.6864861693311255
FS204,Metsimaholo,9.682843768411137,25.96059047306587,6.393933334883757,33.09162658716638,17.631830066227316,7.239175770245534
FS205,Mafube,18.702436520181156,32.98752590734309,6.983039769047934,26.69923462013692,11.251980044613354,3.3757831386775434
MAN,Mangaung,9.736470881600475,27.61199825903371,7.0041196218838415,30.514240876234105,17.62157843965253,7.511591921595335
GT421,Emfuleni,9.296071756927194,22.55117426442459,5.957170435951112,35.71812986997283,19.64649650398472,6.830957168728213
GT422,Midvaal,9.579764541600447,21.958355252518817,5.006292466659016,31.883336107587727,22.122712982481577,9.449538649152416
GT423,Lesedi,12.669319460307133,25.68843363916641,6.140839703383179,32.4745671164134,16.94316479084411,6.083675289885776
GT481,Mogale City,8.810522560721974,21.09621858166119,6.012975380351864,34.03703163965154,21.778869452283537,8.264382385317152
GT482,Randfontein,8.735462733791833,21.721148048252758,6.188835307726756,35.76216223685588,20.753689477576863,6.838702195795894
GT483,Westonaria,13.937735930171844,27.56720825494805,8.481412330734784,33.64039577844833,13.546207285262813,2.8270404204341837
GT484,Merafong City,12.186466436408882,25.96965395783799,7.76369222921778,34.73852885729905,15.225285827697164,4.116372691539148
EKU,Ekurhuleni,8.397638119568478,19.761629989752233,5.613511513749763,34.54448700289727,23.049548679144547,8.633184694887712
JHB,City of Johannesburg,6.998423468745623,17.87585038194795,5.386667505071516,33.59868248393777,24.311246696139115,11.829129464158013
TSH,City of Tshwane,8.401497278545387,19.147472566077433,4.985485423988029,29.12287350969422,24.220223995503083,14.12244722619349
KZN213,Umzumbe,22.05282128062468,39.122735434435924,7.098640129449811,23.606949163437964,6.722514073442055,1.3963399186316567
KZN214,UMuziwabantu,20.72022552543403,42.07386159110296,7.347815894481268,22.274656809088633,5.6345947675192205,1.9488454123738872
KZN215,Ezingoleni,21.87820577709349,40.0504850054766,6.838421090509829,23.674730876559146,6.029938954444242,1.528218295916706
KZN216,Hibiscus Coast,14.478675397482931,29.970849906582114,6.336518755754218,28.48020686799601,15.004931923323102,5.728817148861621
KZN211,Vulamehlo,25.844900092681467,36.942989977812616,6.517968483873288,22.31900033084143,7.38353300093648,0.9916081138547207
KZN212,Umdoni,13.653478280123574,28.166844599272288,6.103406599301955,29.238156883759448,17.368594709203187,5.4695189283395385
KZN221,uMshwathi,21.258108260945967,34.518534606363296,7.2474684959529885,25.77188507898342,9.084333404669511,2.1196701530848223
KZN222,uMngeni,11.740560523748462,24.597496167745962,6.137544134253081,30.12654423764477,17.839213759148613,9.558641177459121
KZN223,Mpofana,18.57166277920647,31.410127481502055,6.9356239540805555,26.56463452837527,12.582813124586187,3.9351381322494583
KZN224,Impendle,20.22575488057946,37.05341301698248,7.624537467335969,25.733873304652597,7.877407229809235,1.4850141006402475
KZN225,The Msunduzi,9.869992312261443,24.243772575823883,6.156970705451744,33.17558157696471,19.38398388728383,7.16969894221438
KZN226,Mkhambathini,22.171053184692305,34.37464652821276,6.905607827650488,25.208334010615012,9.131427055055621,2.2089313937738146
KZN227,Richmond,22.101162670969586,34.34671278235613,6.9387392278805695,25.036963762525698,9.218217040783596,2.358204515484431
KZN232,Emnambithi/Ladysmith,12.356654037065072,30.17672473479905,7.08983456403776,30.513831321624767,15.484688079494246,4.378267262979109
KZN233,Indaka,25.553758179964802,36.002754201390204,6.732174446891539,23.331327988010443,7.321294184100855,1.0586909996421583
KZN234,Umtshezi,19.43649317035634,28.91279820871552,6.005551631187097,26.510819452971766,14.784949222976069,4.349388313793211
KZN235,Okhahlamba,22.73012949444731,35.682900952136855,6.77049868373812,24.217337288438074,8.584482668189363,2.0146509130502768
KZN236,Imbabazane,19.491929837081486,34.275574082031,7.159561228623009,27.552402355544668,10.242953215435351,1.2775792812508482
KZN271,Umhlabuyalingana,33.68505983926984,33.36874823718885,5.467284845564472,18.21852592627574,7.734988220091182,1.5253929315824013
KZN272,Jozini,30.839093173439476,34.24288603957056,5.5939881091257675,18.941439569497916,8.636815874454875,1.7457772339114137
KZN273,The Big 5 False Bay,29.099701178972225,33.54314660051318,5.869136703606405,19.870802364132818,9.441628292963172,2.175584859812205
