SuperWEB2(tm)

"Descriptive - Census 1996-2011"
"South Africa by 2011 Municipal Boundaries by Education level (grouped)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Education level (grouped)","No schooling","Some primary","Complete primary","Some secondary","Grade 12/Std 10","Higher","Unspecified","Not applicable","Total",
"South Africa by 2011 Municipal Boundaries",
"WC034: Swellendam",7564.869699,27098.261505,6640.678545,22243.294652,10051.882621,5099.710201,543.72687,9537.652304,88780.076397,
"WC031: Theewaterskloof",22134.657713,75630.937272,24617.785318,80075.779341,29553.766872,11090.122285,3175.64351,30369.61874,276648.311051,
"WC032: Overstrand",8629.892218,33246.110225,10062.822672,51091.165159,31815.880343,18172.586029,2693.54788,16417.73747,172129.741996,
"WC033: Cape Agulhas",5585.389375,21363.892244,7288.297069,22834.239421,10918.363077,6416.606316,1204.76599,7596.545697,83208.099189,
"WC041: Kannaland",7149.912863,22912.148331,6042.523301,16874.025248,5973.0917,2144.493997,852.25315,7979.409162,69927.857752,
"WC042: Hessequa",10343.919072,37651.139487,11231.048054,36022.695183,17656.516563,8459.101153,999.43313,12945.324476,135309.177118,
"WC043: Mossel Bay",12787.273312,49206.712182,14304.337079,62895.549167,40010.432688,18489.356383,3236.56886,19782.755405,220712.985076,
"WC044: George",33722.591922,110812.215768,30462.688744,128097.3922791,75203.083542,30612.958226,5779.84622,48564.612322,463255.3890231,
"WC045: Oudtshoorn",21170.115791,72127.476043,20901.526053,70279.641828,33521.334216,10714.366028,2621.78376,28470.261195,259806.504914,
"WC047: Bitou",5324.097188,21354.340905,6508.786253,27821.941173,16712.043612,7332.706946,1596.43312,10120.521574,96770.870771,
"WC048: Knysna",9060.092907,38214.775181,11314.871318,46567.082501,27507.647765,12041.04054,2794.7328,16792.950448,164293.19346,
"WC051: Laingsburg",3030.63997,5774.499171,1583.86317,5109.575659,1845.456754,937.288542,163.12234,2437.824713,20882.270319,
"WC052: Prince Albert",4242.040043,10700.205584,2554.515213,7383.711017,2590.261047,1428.567473,299.41102,3956.590515,33155.301912,
"WC053: Beaufort West",16467.230782,36455.22513,9533.318005,34458.621422,14511.62573,4719.830732,1497.95397,15925.678167,133569.483938,
"CPT: City of Cape Town",459567.0871353,1715837.6359177,547867.9850905,2940069.2576362,1627315.8723456,838316.0951255,125665.2308001,939907.3786396,9194546.5426905,
"Total",17214102.492793,32917124.6199119,7860356.378987,35807793.1504217,18803485.3506867,7546149.610125,1654208.77216,15370690.4378776,137173910.8129628,


(c) Copyright Statistics South Africa
