OAXXCD,E.01,E.11,E.21
X0000001E,0.2757024805932273,0.34684481369518183,0.40477443030083643
X0000002E,0.4223600756421968,0.5968260501676859,0.675058464519609
X0000003E,0.2826255606259411,0.43041473440623557,0.4490556647377322
X0000004E,0.27431863386717437,0.39597014466071817,0.45734797224637735
X0000005E,0.35651329503243057,0.4440486364487431,0.5227702265346706
X0000006E,0.5135025524304777,0.5431257563301778,0.5983038456830986
X0000007E,0.3991858906911049,0.6783686024347262,0.6562789521040604
X0000008E,0.3281014479508466,0.5605879386056175,0.6430241604038117
X0000009E,0.4844767774364111,0.584451908359253,0.49710474521355696
X0000010E,0.43858181065252044,0.5297394395593351,0.6388455642442439
X0000011E,0.4321437648273605,0.516699415028819,0.5939187383437021
X0000012E,0.375338934482797,0.40511413647495365,0.43347626007451534
X0000013E,0.25199685029768326,0.2772082389132826,0.5009246519781887
X0000014E,0.32532851766717363,0.40998417307416263,0.665912321535705
X0000015E,0.4464363682630344,0.41352309571683815,0.5518844497031845
X0000016E,0.32863507895313937,0.42742817176722114,0.5308269133963331
X0000017E,0.45753167762520885,0.5704556999861872,0.6964551541178575
X0000018E,0.3076933498230325,0.5265174911279219,0.6863810556495927
X0000019E,0.37559013461375784,0.4866175826677497,0.6401797305459168
X0000020E,0.42113226353428496,0.42569356382101503,0.6404036467318467
X0000021E,0.39075148806542215,0.5598950678358806,0.6480207939247782
X0000022E,0.38426417228567894,0.5652794372868593,0.6247255367989514
X0000023E,0.38559748994371046,0.5401100362420365,0.668883506708167
X0000024E,0.608531204783783,0.7032683813108449,0.7814439604926858
X0000025E,0.523655469590425,0.6048098134344086,0.830741879172221
X0000026E,0.4060723586153577,0.7044528539855563,0.8315723198220656
X0000027E,0.5902362619994208,0.6960963464299843,0.6589487913117295
X0000028E,0.484538354485709,0.5705997914370551,0.6934673512955963
X0000029E,0.45128491214588073,0.6377493173709748,0.6847212238823113
X0000030E,0.6624470046122058,0.7768027456917994,0.8067082198579826
X0000031E,0.6427957692130774,0.7536253787425796,0.766791365439387
X0000032E,0.6400700917457914,0.7886001072846492,0.841250550510806
X0000033E,0.7556686070130287,0.7990932257789355,0.8493320921554341
X0000034E,0.6085990507531136,0.7798389124561831,0.8118999007489801
X0000035E,0.37633694752489705,0.7688402294593598,0.8185839488223646
X0000036E,0.665807275017402,0.7580573556770328,0.7737165549629252
X0000037E,0.6684973613424402,0.899178989856924,0.8791121479655474
